-,17/03/2015,00:08:03,ktps,172.30.130.224,,,DC++ 0.802,135.38 GiBs,P,0.005
-,17/03/2015,00:08:22,hack1,172.30.100.239, ,,EiskaltDC++ 2.2.8,23.25 GiBs,A,20
-,17/03/2015,00:08:22,alskdjfhg,172.30.103.199,,,DC++ 0.831,62.68 GiBs,P,0.005
-,17/03/2015,00:08:22,chepk,172.30.100.177,yo yo,,DC++ 0.843,218.48 GiBs,P,0.005
-,17/03/2015,00:08:22,arindhaal,172.30.101.78,,,DC++ 0.802,48.51 GiBs,P,1000
-,17/03/2015,00:08:22,DELL777,172.30.101.194,,,ApexDC++ 1.6.0,21.13 GiBs,P,0.1
-,17/03/2015,00:08:22,qwwerrtfgghhhhhccvvvbbvb,172.30.121.172,,,DC++ 0.843,130.33 GiBs,P,0.005
-,17/03/2015,00:08:22,umman,172.30.102.87,,,ApexDC++ 1.6.0,371.56 GiBs,P,0.1
-,17/03/2015,00:08:22,WC15,172.30.100.163,,,DC++ 0.802,39.35 GiBs,P,1000
-,17/03/2015,00:08:22,ksms,172.30.102.241,,ssk@gmail.com,ApexDC++ 1.5.7,67.08 GiBs,P,0.1
-,17/03/2015,00:08:22,JPK1,172.30.123.249,,,DC++ 0.828,94.10 GiBs,P,0.005
-,17/03/2015,00:08:22,ece,172.30.100.193,,,DC++ 0.843,24.24 GiBs,P,0.005
-,17/03/2015,00:08:22,Champak,172.30.126.129,,,DC++ 0.831,134.75 GiBs,P,0.005
-,17/03/2015,00:08:22,KingOfWinter,172.30.101.16,,,ApexDC++ 1.6.0,32.48 GiBs,P,0.1
-,17/03/2015,00:08:22,tweety,172.30.130.113,,,DC++ 0.843,134.93 GiBs,P,0.005
-,17/03/2015,00:08:32,kiick,172.30.103.178,,,DC++ 0.843,132.85 GiBs,A,0.005
-,17/03/2015,00:08:32,miller,172.30.121.9,,,DC++ 0.831,311.78 GiBs,P,0.005
-,17/03/2015,00:08:32,ruler229,172.30.102.98,,,DC++ 0.831,25.33 GiBs,P,0.005
-,17/03/2015,00:08:32,SSSSS,172.30.103.146,,,DC++ 0.843,40.20 GiBs,P,0.005
-,17/03/2015,00:08:32,fuckoff,172.30.120.58,,,DC++ 0.843,23.10 GiBs,P,0.005
-,17/03/2015,00:08:32,kitkat,172.30.101.0,,,DC++ 0.843,92.82 GiBs,P,0.005
-,17/03/2015,00:08:32,ross,172.30.102.70,,,DC++ 0.770,27.92 GiBs,A,0.005
-,17/03/2015,00:08:32,Turing,172.30.120.250,,,DC++ 0.828,221.63 GiBs,P,0.005
