-,21/04/2016,00:00:32,Anonymous-pc,172.30.100.224,,,DC++ 0.843,25.49 GiBs,P,0.005
-,21/04/2016,00:00:41,CHANDRAPAVAN,172.30.124.80,,,DC++ 0.831,0.00 KiBs,P,0.005
-,21/04/2016,00:01:03,olaf007,172.30.100.95,[/],,DC++ 0.674,23.83 GiBs,A,56Kbps
+,21/04/2016,00:01:15,havingfun,172.30.105.55,,,DC++ 0.831,108.09 GiBs,A,1000
-,21/04/2016,00:01:24,praveen,172.30.100.222,,,ApexDC++ 1.6.0,0.00 KiBs,P,0.1
-,21/04/2016,00:01:41,rajeshrama,172.30.100.76,,,DC++ 0.843,118.12 GiBs,P,0.005
-,21/04/2016,00:02:46,yyy,172.30.101.162,,,DC++ 0.843,39.94 GiBs,P,0.005
-,21/04/2016,00:03:07,Praneeth44,172.30.104.152,,,DC++ 0.851,0.00 KiBs,P,0.005
-,21/04/2016,00:03:09,acemaster,172.30.107.161,,,DC++ 0.75,72.59 GiBs,A,0.02
+,21/04/2016,00:03:18,kbeast,172.30.103.156,,,DC++ 0.830,25.76 GiBs,P,0.005
+,21/04/2016,00:03:28,kakka,172.30.142.120,,,DC++ 0.851,8.00 GiBs,P,0.005
+,21/04/2016,00:03:28,maaahi,172.30.104.156,,,DC++ 0.843,0.00 KiBs,A,0.005
+,21/04/2016,00:03:57,kiick,172.20.41.238,,,DC++ 0.843,132.54 GiBs,A,0.005
+,21/04/2016,00:04:19,Praneeth44,172.30.104.152,,,DC++ 0.851,0.00 KiBs,P,0.005
+,21/04/2016,00:04:40,yyy,172.30.101.162,,,DC++ 0.843,39.94 GiBs,A,0.005
+,21/04/2016,00:05:27,praveen,172.30.100.222,,,ApexDC++ 1.6.0,0.00 KiBs,P,0.1
+,21/04/2016,00:05:46,Sher;ock,172.30.101.126,,,DC++ 0.850,149.12 GiBs,P,0.005
-,21/04/2016,00:05:48,123456789,172.30.103.233,,,DC++ 0.843,144.80 GiBs,A,0.005
-,21/04/2016,00:06:56,Mest,172.30.100.221,,,DC++ 0.843,106.72 GiBs,A,100
-,21/04/2016,00:06:56,kbeast,172.30.103.156,,,DC++ 0.830,25.76 GiBs,P,0.005
+,21/04/2016,00:06:58,olaf007,172.30.100.95,[/],,DC++ 0.674,23.83 GiBs,A,56Kbps
+,21/04/2016,00:07:35,vashu,172.30.100.231,,,DC++ 0.825,75.17 GiBs,A,0.005
-,21/04/2016,00:07:57,boogie-,172.30.100.220,,,DC++ 0.851,116.01 GiBs,P,0.005
-,21/04/2016,00:09:27,kiick,172.20.41.238,,,DC++ 0.843,132.54 GiBs,A,0.005
-,21/04/2016,00:09:39,malikireddy,172.30.126.69,,,DC++ 0.830,197.62 GiBs,P,0.005
-,21/04/2016,00:10:30,Bhaskar,172.30.124.150,,,DC++ 0.811,38.75 GiBs,P,0.005
-,21/04/2016,00:10:32,chembesta,172.30.106.81,,,DC++ 0.851,25.35 GiBs,P,0.005
+,21/04/2016,00:12:00,tong,172.30.127.212,,,DC++ 0.851,15.96 GiBs,A,0.005
-,21/04/2016,00:12:09,tong,172.30.127.212,,,DC++ 0.851,15.96 GiBs,A,0.005
-,21/04/2016,00:12:21,hchfh,172.30.124.110,softwares  telugu songs,,ApexDC++ 1.6.0,115.59 GiBs,P,1000
+,21/04/2016,00:12:24,Chandan,172.30.100.174,,,DC++ 0.851,2.61 GiBs,A,0.005
+,21/04/2016,00:12:25,Bhaskar,172.30.124.150,,,DC++ 0.811,38.75 GiBs,A,0.005
-,21/04/2016,00:12:48,Agnes,172.30.133.7,,,DC++ 0.850,95.15 GiBs,A,0.005
+,21/04/2016,00:13:03,kiick,172.20.41.213,,,DC++ 0.843,132.54 GiBs,A,0.005
-,21/04/2016,00:13:37,vashu,172.30.100.231,,,DC++ 0.825,75.17 GiBs,P,0.005
+,21/04/2016,00:13:45,dontbeat,172.30.105.244,,,DC++ 0.851,50.32 GiBs,A,0.005
-,21/04/2016,00:13:47,kickc,172.30.140.245,not a bad boy,rockingchandu6@gmail.com,DC++ 0.843,7.71 GiBs,P,0.005
-,21/04/2016,00:14:46,dontbeat,172.30.105.244,,,DC++ 0.851,50.32 GiBs,P,0.005
+,21/04/2016,00:15:00,dontbeat,172.30.105.244,,,DC++ 0.851,50.32 GiBs,A,0.005
