-,08/09/2016,00:03:13,Neutrino,172.30.148.221,,,DC++ 0.851,179.44 GiBs,P,100
+,08/09/2016,00:03:34,leo3,172.30.101.235,,mhnvms@gmail.com,DC++ 0.851,30.03 GiBs,P,0.005
-,08/09/2016,00:06:39,ayan,172.30.106.151,,,DC++ 0.851,52.40 GiBs,A,0.005
+,08/09/2016,00:13:23,TheGreenArrow,172.30.107.203,,,DC++ 0.843,64.87 GiBs,A,0.005
+,08/09/2016,00:14:42,kapil,172.30.103.0,,,DC++ 0.843,22.68 GiBs,A,0.005
-,08/09/2016,00:17:13,TheGreenArrow,172.30.107.203,,,DC++ 0.843,64.87 GiBs,P,0.005
+,08/09/2016,00:17:21,aurther,172.30.103.247,,,DC++ 0.851,92.84 GiBs,P,0.005
+,08/09/2016,00:17:30,KHM,172.30.127.219,,,StrgDC++ 2.41,51.07 GiBs,P,0.01
-,08/09/2016,00:18:20,anush,172.30.101.239,,,DC++ 0.831,110.30 GiBs,P,0.005
+,08/09/2016,00:22:26,sherlocked,172.30.145.32,,,SP 0.9.5,46.81 GiBs,A,DSL
-,08/09/2016,00:29:17,okayfinee,172.30.104.117,,,DC++ 0.851,21.41 GiBs,A,1000
+,08/09/2016,00:37:28,Banchodda,172.30.149.8,,,DC++ 0.851,21.31 GiBs,A,1000
+,08/09/2016,00:38:41,cv,172.30.101.125,,,DC++ 0.843,160.17 GiBs,A,0.005
-,08/09/2016,00:39:03,cv,172.30.101.125,,,DC++ 0.843,160.17 GiBs,A,0.005
-,08/09/2016,00:39:24,badBoy,172.30.107.48,,,DC++ 0.828,112.70 GiBs,P,0.005
-,08/09/2016,00:45:52,Samurai_Ranger,172.30.101.189,,,DC++ 0.851,40.78 GiBs,P,0.005
+,08/09/2016,00:46:49,HPpc,172.30.105.106,,,DC++ 0.851,286.21 GiBs,P,0.005
-,08/09/2016,00:50:46,rishav,172.30.138.151,,rishav@gmail.com,DC++ 0.828,44.80 GiBs,P,2
-,08/09/2016,00:51:33,HPpc,172.30.105.106,,,DC++ 0.851,289.09 GiBs,P,0.005
-,08/09/2016,01:11:17,sherlocked,172.30.145.32,,,SP 0.9.5,46.81 GiBs,A,DSL
+,08/09/2016,01:12:48,Milton,172.30.101.234,????-??? ,,DC++ 0.843,248.36 GiBs,A,0.005
